;data;hora;chuva;nivel;vazao diaria
95;2021-06-01;00:00:00;0.0;90.0;34.159999999999975
191;2021-05-31;00:00:00;0.0;90.0;34.859052631578955
287;2021-05-30;00:00:00;0.0;92.0;34.84333333333332
383;2021-05-29;00:00:00;0.0;90.0;34.15999999999998
479;2021-05-28;00:00:00;0.0;90.0;34.15999999999998
575;2021-05-27;00:00:00;0.0;90.0;33.49844444444444
671;2021-05-26;00:00:00;0.0;87.0;32.040000000000006
767;2021-05-25;00:00:00;0.0;87.0;32.48947368421051
863;2021-05-24;00:00:00;0.0;88.0;32.739999999999995
959;2021-05-23;00:00:00;0.0;89.0;32.93431578947368
1055;2021-05-22;00:00:00;0.0;88.0;32.73999999999998
1147;2021-05-21;00:00:00;0.0;88.0;32.73999999999999
1243;2021-05-20;00:00:00;0.0;88.0;33.21084210526314
1339;2021-05-19;00:00:00;0.0;89.0;33.121157894736825
1435;2021-05-18;00:00:00;0.0;89.0;33.44999999999998
1531;2021-05-17;00:00:00;0.0;89.0;33.44999999999998
1627;2021-05-16;00:00:00;0.0;89.0;33.44999999999998
1723;2021-05-15;00:00:00;0.0;89.0;33.44999999999998
1819;2021-05-14;00:00:00;0.0;89.0;33.14571428571427
1915;2021-05-13;00:00:00;0.0;88.0;33.010108695652164
2011;2021-05-12;00:00:00;0.0;89.0;34.019473684210524
2107;2021-05-11;00:00:00;0.0;91.0;35.13955555555557
2203;2021-05-10;00:00:00;;92.0;35.82088888888891
2299;2021-05-09;00:00:00;0.0;93.0;36.860439560439545
2395;2021-05-08;00:00:00;0.0;94.0;37.6642105263158
2491;2021-05-07;00:00:00;;95.0;38.23677419354838
2587;2021-05-06;00:00:00;0.0;96.0;39.566923076923075
2683;2021-05-05;00:00:00;0.0;98.0;40.815578947368415
2779;2021-05-04;00:00:00;0.0;100.0;42.405578947368426
2875;2021-05-03;00:00:00;0.0;102.0;43.54617021276595
2971;2021-05-02;00:00:00;0.0;103.0;0.0
3067;2021-05-01;00:00:00;0.0;104.0;0.0
