,Estacao,Localizacao,Qsup,VazaoMinPrev,Status,isForecast
0,45590000,Rio Correntina em Correntina,1.0,17.616532169161772,Baixo,yes
1,45740001,Rio do Meio em Mocambo,9.0,13.524046814899505,Baixo,yes
2,45770000,Rio Arrojado em Arrojado,14.4,,Sem previsão,no
3,45840000,Rio Formoso em Gatos,17.2,26.872779027620474,Baixo,yes
4,45880000,Rio Formoso em Colônia do Formoso,17.4,28.953588807819532,Baixo,yes
5,45960001,Rio Corrente em Porto Novo,45.2,76.44020760404233,Baixo,yes
6,46415000,Rio Grande em Sítio Grande,13.2,8.4905160014596,Alto,yes
7,46543000,Rio de Ondas em Fazenda Rendenção,9.3,21.04474472332085,Baixo,yes
8,46590000,Rio Branco em Nova Vida Montante,13.0,23.83065375206028,Baixo,yes
9,46675000,Rio Grande em Fazenda Macambira,48.4,,Sem previsão,no
