,Estacao,Localizacao,Qsup,VazaoMinPrev,Status,isForecast
0,45590000,Rio Correntina em Correntina,1.0,16.24914923491665,Baixo,yes
1,45740001,Rio do Meio em Mocambo,9.0,11.75577369361109,Moderado,yes
2,45770000,Rio Arrojado em Arrojado,14.4,0.0,Sem previsão,no
3,45840000,Rio Formoso em Gatos,17.2,28.178051343485265,Baixo,yes
4,45880000,Rio Formoso em Colônia do Formoso,17.4,0.0,Sem previsão,no
5,45960001,Rio Corrente em Porto Novo,45.2,73.53199372267018,Baixo,yes
6,46415000,Rio Grande em Sítio Grande,13.2,0.0,Sem previsão,no
7,46543000,Rio de Ondas em Fazenda Rendenção,9.3,19.49357137445002,Baixo,yes
8,46590000,Rio Branco em Nova Vida Montante,13.0,22.299656787316213,Baixo,yes
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
