id,localizacao,alfa,q90,vsup
45590000,Rio Correntina em Correntina,-0.0012454,23.20,1.0
45740001,Rio do Meio em Mocambo,-0.00215667,24.8,9.0
45770000,Rio Arrojado em Arrojado,-0.00106096,43.0,14.4
45840000,Rio Formoso em Gatos,-0.00112738,54.4,17.2
45880000,Rio Formoso em Colônia do Formoso,-0.00115688,55.4,17.4
45960001,Rio Corrente em Porto Novo,-0.00162433,138.7,45.2
46415000,Rio Grande em Sítio Grande,-0.00224677,19.4,13.2
46543000,Rio de Ondas em Fazenda Rendenção,-0.00224738,32.5,9.3
46590000,Rio Branco em Nova Vida Montante,-0.00137433,38.2,13.0
46675000,Rio Grande em Fazenda Macambira,-0.00290156,132.5,48.4
